urls,title,brand,price,price_old,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.kruidvat.nl/davitamon-junior-gummies/p/3843855,Davitamon Junior Gummies60st,,19.95,,,Vitaminen & Supplementen,,,,,,,
https://www.kruidvat.nl/ymea/p/23517,Ymea60st,,0.00,,,Vitaminen & Supplementen,,,,,,,
https://www.kruidvat.nl/a/2607/gratis-discolamp-bij-durex-en-durex-play,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2603/dettol-foam-magic-starter,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2604/unicura-handzeep-2-voor-2.00,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2089/scholl-inlegzolen-2.00-korting,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2669/gratis-snoepzak,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2611/pampers-midpakken-50-korting,,,,,,,,,,,,,
-,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/hover-rocket/p/4143504,Hover Rocket183cm,,14.99,,25%,Speelgoed,,,,,,,
https://www.kruidvat.nl/finding-dory-robo-fish-waterspeelset/p/4144561,Finding Dory Robo Fish Waterspeelset,,9.99,,71%,Speelgoed,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
-,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/a/1170/huggies-little-swimmers-15-korting,huggies  Zwemluiers ,huggies ,,,,Luiers & Verschonen ,Zwemluiers ,,,,,,huggies little swimmers 15% korting 
-,,,,,,,,,,,,,
https://www.kruidvat.nl/ses-pink-city-vriendschapsbandjes/p/4159338,Ses Pink City Vriendschapsbandjes,,3.99,,50%,Knutselen & Schrijven,Knutselen & schrijven,,,,,,
https://www.kruidvat.nl/ses-pink-city-naambandjes/p/4159331,Ses Pink City Naambandjes,,3.99,,50%,Knutselen & Schrijven,Knutselen & schrijven,,,,,,
https://www.kruidvat.nl/a/2612/philips-avent-2e-halve-prijs,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/grafix-kleur-je-eigen-tas/p/4159324,Grafix Kleur Je Eigen Tas,,4.99,,50%,Knutselen & Schrijven,Knutselen & schrijven,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/a/1171/haribo-drop-3-voor-2.50,haribo  Snacks & Snoep ,haribo ,,,,Snacks & Snoep ,Snacks & Snoep ,,,,,,haribo drop 3 voor 2.50 
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/douwe-egberts-vakantiepakket/p/4162796,Douwe Egberts Vakantiepakket,,0.00,,,Koffie & Thee,Koffie,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
